Topic,Keys,Text
Summary,air quality,"In this chapter we described the introduction, overview, problem statement and applications of the Real time weather and air quality monitoring system. The next chapter of the thesis provides literature review and related technologies of the study."
Software and Hardware specification,"prototype hardware, hardware","We covered the introduction, the literature review, pertinent technologies, and the restrictions in greater detail in the two chapters that came before this one. The methods and tools we used to create this prototype hardware will now be thoroughly reviewed in this chapter. Below is a list of the hardware we utilized for this project, and we'll go into more depth about each component later."
Purpose,"using hydroponic, installing hydroponic, hydroponic, hydroponic systems, water efficiency, efficiency water, hydroponic, grown hydroponically, hydroponically frequently, soil faster, faster soil, faster growth, hydroponic systems, installing hydroponic, efficiency growers, hydroponic, nutrient control, hydroponic systems, control nutrient, improved nutrient, levels hydroponic, cultivation hydroponics, hydroponics, hydroponics allows, round cultivation, hydroponic systems, techniques hydroponic, crop yields, hydroponic, conventional farming, hydroponic vegetables, hydroponic, atmosphere hydroponic, hydroponic systems, hydroponic, general hydroponic","Using a hydroponic system has a number of benefits, making it a desirable choice for different kinds of growers. Here are some of the main justifications for installing a hydroponic system: Water Efficiency: Because water is cycled inside the system, hydroponic systems use substantially less water than conventional soil-based agricultural methods. This makes it a viable option for producers who are concerned about the environment or for areas with a shortage of water. Faster Growth Rates: Due to the exact control over nutrient levels, temperature, and other environmental conditions, plants grown hydroponically frequently grow faster than those in soil. Faster harvests and more crop turnover follow from this. Space Efficiency: Growers may make the most of their available space by installing hydroponic systems vertically or in smaller places. This is particularly advantageous in urban or small-space contexts. Improved Nutrient Control: With the ability to precisely control nutrient levels in hydroponic systems, growers can guarantee that plants receive the exact nutrients they require for optimum development. By doing this, nutrient waste is decreased and healthier, more productive plants are encouraged. Year-Round Cultivation: Hydroponics allows for year-round cultivation that is unaffected by the weather, allowing for the production of crops in even the harshest climates and off-seasons. High Crop Yields: When compared to conventional farming techniques, hydroponic systems may offer better crop yields per square foot. For commercial producers trying to optimize income, this is extremely useful. Quality: Due to the regulated atmosphere, hydroponic vegetables often have more uniform size, shape, and quality. Because of this, they may fetch higher costs and are more enticing to customers. In general, hydroponic systems have a variety of advantages that make them an alluring option for farmers looking for effective, sustainable, and managed growth techniques."
Document Conventions,"srs report, significance priority, described srs",All the things described in this SRS report have equal significance and priority.
Intended Audience and Reading Suggestions,document intended,This document is intended for Students and Teachers who are going to develop or supervise this  or similar project.
Product Scope,"hydroponic systems, uses hydroponic, adaptability hydroponic, hydroponic, hydroponic farms, hydroponics widely, commercial hydroponic, commercial agriculture, using hydroponics, indoor hydroponic, hydroponic systems, hydroponic, indoor farming, greenhouse hydroponics, advantages hydroponic, hydroponic production, hydroponics, greenhouses greenhouse, vertical farming, vertical hydroponic, cultivated stacked, urban agriculture, agriculture crops, hydroponic systems, hydroponic, turning hydroponic, home gardening, home gardeners, education hydroponics, hydroponics useful, hydroponics, seedlings produced, quality seedlings, seeding production, seedlings, hydroponic systems, cultivation hydroponics, hydroponics used, hydroponics, cultivation specialty, crop cultivation, aquaponics aquaponics, aquaponics method, plants hydroponically, aquaponics, aquaculture plants","Due to its effectiveness, accuracy, and adaptability, hydroponic systems are used in a broad variety of industries. Here are a few typical uses for hydroponic systems: Commercial Agriculture: A number of crops, including lettuce, tomatoes, cucumbers, and herbs, are grown using hydroponics widely in commercial agriculture. Urban, peri-urban, and rural areas all have commercial hydroponic farms that provide fresh vegetables to nearby markets. Indoor: Hydroponic systems are perfect for indoor farming because they let producers raise crops in surroundings that are regulated and have optimal light, temperature, and humidity. This makes it possible to produce all year round regardless of the weather outside. Greenhouses: Greenhouse hydroponics combines the advantages of hydroponic production with regulated surroundings. It makes it possible to grow crops of superior quality with higher yields and less dependency on pesticides. Vertical farming: In cities with limited space, vertical hydroponic systems are common. In order to maximize the use of vertical space and enable extensive urban agriculture, crops are cultivated in stacked layers. Home gardening: In order to cultivate herbs, vegetables, and even tiny fruit plants in constrained locations like balconies or interior spaces, home gardeners are increasingly turning to hydroponic systems. Education: Hydroponics is a useful tool for academics and educational organizations interested in environmental conditions, plant development, and nutrient control. It provides opportunity for practical learning and controlled experiments. Seeding Production: High-quality seedlings are produced using hydroponic systems and then transplanted into conventional soil-based agriculture. This guarantees more even growth and stronger plants. Specialty Crop Cultivation: Hydroponics is used for the cultivation of specialty crops like medicinal herbs, unusual foods, and uncommon plant species that may need certain environmental conditions. Aquaponics: Aquaponics is a method of growing plants hydroponically while also raising fish or other aquatic critters. The plants are fertilized with the nutrient-rich water from the aquaculture system, and the plants then filter the water for the fish."
Overall Description Product Perspective,"hydroponics conventional, hydroponic systems, compared hydroponics, hydroponics, used hydroponic, hydroponics uses, hydroponics, water use, contrarily hydroponics, ineffective irrigation, use hydroponics, hydroponics, hydroponics relieve, deforestation use, land use, weather dependent, environment hydroponic, hydroponic systems, traditional farming, susceptible droughts, soil degradation, soil hydroponics, soil cultivation, soil erosion, continuous soil, pesticide use, use pesticides, chemical pesticides, pesticides frequently, pesticides, weed management, weed control, control weed, weeding, environment weeds","Although it has been practiced for a long time and is widely used, hydroponic systems provide a number of advantages over traditional farming. Compared to hydroponics, conventional farming has the following drawbacks: Water Use: Traditional farming frequently uses ineffective irrigation techniques, which results in severe water waste. Contrarily, hydroponics uses up to 90% less water than conventional soil-based agriculture since it recycles water. Land Use: Large areas of fertile land are needed for traditional farming, which can result in habitat loss and deforestation. The use of hydroponics can relieve pressure on natural ecosystems by allowing for the production of plants in smaller areas, including urban settings. Weather Dependent: Traditional farming is heavily reliant on the weather, which leaves crops susceptible to droughts, floods, and very high or low temperatures. Because they offer a controlled environment, hydroponic systems enable year-round, weather-independent growing. Soil Degradation: Continuous soil cultivation in conventional farming can cause soil erosion, a loss of fertility, and the deterioration of agricultural land. By not using soil, hydroponics helps to address these problems. Pesticide Use: Chemical pesticides are frequently used in traditional farming to battle pests and illnesses, but doing so can have negative environmental effects as well as health hazards for consumers. The use of pesticides can be decreased by using integrated pest management techniques in hydroponic systems. Weed Control: Weed management in traditional farming involves using pesticides or physical weeding, both of which may be time-consuming and harmful to the environment. Weeds are completely eliminated by hydroponics."
Overall Description Product Functions,"functional requirements, requirements satisfied, functional, satisfied project, following functional, ambient light, color control, light color, ambient, light, pump control, water pump, pump, control, fan control, control, fan, tds water, monitoring tds, humidity environment, monitoring temperature, temperature humidity, humidity, temperature control, temperature, weather data, data wind, wind speed, wind, iot based, iot, desktop application, control internet, based desktop",Following functional requirements will be satisfied by this project Ambient Light Color control. Water Pump control. Fan Control. Monitoring TDS in water. Monitoring Temperature and Humidity of environment. Temperature control system. Weather data and wind speed monitor. IoT based Desktop Application for control over the internet.
Overall Description Design and Implementation Constraints,"risks involved, risks, risks involved, following risks, risks, sensors damage, sensors, google firebase, firebase change, firebase",Risks Involved: Following risks may be involved in the design and implementation of the project. Sensors may damage if exposed to excessive heat or water. Google Firebase may change the API and Arduino code may stop working.
Overall Description User Documentation,"thesis regarding, complete thesis, thesis, research delivered",Complete thesis regarding this research will be delivered with this product.
Overall Description Assumptions and Dependencies,"requirements project, project change",Requirements of the project may change as this project is totally dependent on Open Source equipment and hardware tools.
Hardware Used with Technical Specifications,"hardware used, hardware, arduino uno, uno r3, arduino, r3, nodemcu, dht, tds, relay, fan, water pump, pump, water, rgb led, led lights, rgb, led, lights, buck converter, buck, converter, step transformer, transformer, bridge rectifier, rectifier, bridge",The hardware used in this project are listed below. Arduino UNO R3 NodeMCU DHT TDS Relay Fan Water Pump RGB LED Lights Buck Converter Step-down Transformer Bridge Rectifier
Hardware Used with Technical Specifications Arduino UNO R3,"r3 microcontroller, uno r3, arduino uno, r3, arduino, microcontroller, microcontroller utilized, microcontroller atmega328p, atmega328p microcontroller, r3 microcontroller, uno r3, analog uno, r3 analog, power board, external power, maximum voltage, r3 programmed, programming arduino, program uno, programmed using, arduino uno","Arduino UNO R3 is a microcontroller board developed by Arduino. It is an adaptable board made for tasks that need a tiny form factor. The Arduino UNO's salient characteristics and details are shown below: Microcontroller: The ATmega328P microcontroller, which is also utilized in the Arduino Nano, is generally used in the Arduino UNO R3. This microcontroller runs at 16 MHz and features 32KB of flash memory, 2KB of SRAM, and 1KB of EEPROM for storing programs. Digital and Analog I/O: The UNO R3 has 6 analog input pins and 14 digital input/output pins, including 6 PWM output pins. Voltage and Current: An external power source or a USB connection can be used to power the board. It can withstand a maximum voltage of 20V and is best used in the 7–12V voltage range. 50mA and 200mA, respectively, are the maximum current draws from the 3.3V and 5V pins. Programming: Arduino UNO R3 may be programmed using the Arduino IDE. The computer language is built on the C/C++ standard. Either an external programmer or a USB-to-serial connection can be used to program the UNO R3."
Hardware Used with Technical Specifications NodeMCU,"nodemcu, connectivity nodemcu, module nodemcu, nodemcu open, nodemcu salient, esp8266 wifi, wifi module, nodemcu, nodemcu computing, esp8266, nodemcu programmed, programming, esp8266 module, fi esp8266, wifi capabilities, built wifi, esp8266, pins nodemcu, nodemcu board, gpio pins, code nodemcu, nodemcu board, nodemcu","Based on the ESP8266 WiFi module, the NodeMCU is an open-source IoT (Internet of Things) development platform. It is a great option for applications that need internet access since it combines the features of a microcontroller with integrated WiFi connectivity. The NodeMCU's salient characteristics and details are shown below: The ESP8266 WiFi module, which includes a microcontroller (usually based on the Tensilica Xtensa architecture) and a WiFi transceiver, is the cornerstone of the NodeMCU. Both computing power and wireless connection are provided by this module. Programming: Those acquainted with the Arduino environment may quickly get started by utilizing the NodeMCU, which can be programmed using the Arduino IDE. Other tools and programming languages, such as Lua and MicroPython, can also be used to create it. Wi-Fi: ESP8266 module includes built-in WiFi capabilities, enabling projects to connect to the internet and communicate with other hardware or online services. GPIO Pins: The NodeMCU board has many General-Purpose Input/Output (GPIO) pins that may be utilized for a variety of tasks, including digital input/output, analog input, and PWM (Pulse Width Modulation) output. Power: An easy way to upload your code to the NodeMCU board and connect with it through USB is to use the USB-to-serial converter, which is often included with the board."
Hardware Used with Technical Specifications Buck Converter LM2596,"buck converter, regulator buck, voltage regulator, converter lm2596, circuit ic, lm2596 buck, characteristics lm2596, buck converter, lm2596, lm2596 performs, lm2596, voltage regulator, regulator effectively, lm2596 renowned, lm2596, lm2596, output adjustable, versions lm2596, lm2596 offered, lm2596 model, particular lm2596, maximum output","A common integrated circuit (IC) that performs the functions of a voltage regulator or buck converter is the LM2596. It is produced by a number of semiconductor firms and has emerged as a popular option for effectively converting larger DC voltages to lower DC voltages. Here are some details and important characteristics of the LM2596 buck converter: The LM2596 performs the role of a step-down (buck) voltage regulator. It effectively transforms an input voltage that is higher than the intended output voltage to the preferred lower output voltage. Efficiency is crucial for converting higher voltages to lower ones, and the LM2596 is renowned for its great efficiency. This qualifies it for a variety of uses, including power supply designs. Both fixed-output and adjustable versions of the LM2596 are offered. With the adjustable model, you may modify the output voltage by adding more resistors. Depending on the particular model and design factors, the LM2596 can handle a range of output current values. To find out the maximum output current capacity of the particular LM2596 model you're using, it's crucial to consult the datasheet."
Hardware Used with Technical Specifications TDS Sensor,"dissolved solids, solids sensor, tds sensor, solids tds, concentration dissolved","The concentration of dissolved solids in a liquid is measured using an electrical device called a TDS sensor, sometimes referred to as a total dissolved solids sensor. It is often utilized in a variety of sectors and applications, including industrial operations, hydroponics, aquarium care, and checking the purity of water. Total Dissolved Solids (TDS) is the term used to describe the total amount of all inorganic and organic compounds that are suspended as molecular, ionized, or microgranular particles in a liquid. This comprises metals, cations, anions, salts, minerals, and occasionally even trace quantities of biological material."
Hardware Used with Technical Specifications DHT,"dht sensor, dht digital, dht, shows dht, digital humidity",DHT is a digital humidity and temperature sensor. It is widely used with Arduino UNO to monitor real-time Temperature and Humidity. It is very accurate with a minor delay of a few seconds in updating new values. The image below shows the DHT sensor utilized in this project.
Hardware Used with Technical Specifications Step-down Transformer,"energy transformer, step transformer, power transformer, transformer, transformer usually","A sort of transformer that is frequently used to step up or step-down energy is the energy transformer, usually referred to as the power transformer. This prototype circuit was created using a 220-VAC input to 12-VAC transformer with equal section collection and the same frequency ratings. The step-down transformer we utilized to create this hardware is seen in the figure below."
Hardware Used with Technical Specifications Bridge Rectifier,"bridge rectifier, rectifier uses, rectifier device, rectifier, circuit bridge",A bridge rectifier is the device that converts alternating current into direct current. This gadget is referred to as a bridge rectifier because it uses four diodes in its construction to generate a bridge. The figure below shows the circuit for this bridge.
Hardware Used with Technical Specifications  Relay,"electromagnetic relays, relays control, relay","During the automation process, we use electromagnetic relays. Through contact-making and disconnection with the power source, the relays control the whole circuit. The 5 volt, 10 amp relay we used is controlled by an NPN transistor that serves as a switch to open and close the circuit as necessary. The relay that we used is shown in the figure below."
Hardware Used with Technical Specifications RGB Lights,"rgb leds, leds used, leds light, light rgb, leds",RGB LEDs are light emitting diode that can be used to create any color light by combining primary colors. Intensity of each LED can be controlled to generate specific color light. RGB LEDs are used to create artificial lighting for plants.
Hardware Used with Technical Specifications Submersible Water Pump,"pump dc, submersible water, water pump",Submersible water pump is DC 3 to 5 volt. This water pump is cheap and suitable for DIY projects. It is low power but good performance water pump. We have used this water pump for pumping water to the tube which holds plants.
Hardware Used with Technical Specifications DC Fan,"dc fan, fan used, fan 12v, operated fan",DC Fan is 12V operated fan mostly used in Computer Boards. It is used to provide air and maintain cooling system in this project. Temperature plays important role in growth of plants therefore maintaining suitable temperature is required.
"Software, Simulation Tools used","software tools, software, used implementation, tools used, main software, arduino ide, ide, arduino, visual studio, community 2022, studio community, studio, ms visio, visio, ms",““The main software tools we have used in the in the implementation of this project are listed below: Arduino IDE Visual Studio Community 2022 MS Visio
"Software, Simulation Tools used Arduino IDE","arduino ide, ide, ide complete","Arduino IDE is a complete development tool for programming development boards like Arduino, ESP, STM32 etc. The program of this hardware is also written and compiled in Arduino IDE."
"Software, Simulation Tools used Visual Studio Community","ide software, visual studio, development tools, microsoft visual, software development, visual studio, edition visual, basic edition","Its IDE Software development tools like Microsoft Visual Studio are used to generate a range of software, including websites, online applications, computer programs, and mobile apps. Compilers, completion tools, and other features are offered to make the software development process easier. The basic edition of Visual Studio is Community edition. It is free of cost and is designed for students, open-source and individual developers. We have used this software to create desktop application for our project. The image below shows a screen shot of the software during development of this project."
Summary,"overview hardware, hardware, hardware utilized","This chapter provides a quick overview of all of the hardware that was utilized in the creation of this model. We discussed the introduction and the literature review in the last two chapters. Here we explain the technical specs and outcomes of the hardware that we employed, as well as the accompanying schematic and functioning diagrams."
